country,subitem,year,gross_output,value_added,subitem_code
ALB,"Agriculture, forestry and fishing (A)",2010,3006353664,2141580928,A
ALB,"Agriculture, forestry and fishing (A)",2011,3300625664,2349568768,A
ALB,"Agriculture, forestry and fishing (A)",2012,3233459968,2312038400,A
ALB,"Agriculture, forestry and fishing (A)",2013,3497113344,2499689984,A
ALB,"Agriculture, forestry and fishing (A)",2014,3666173952,2644326144,A
ALB,"Agriculture, forestry and fishing (A)",2015,3132628992,2252344320,A
ALB,"Agriculture, forestry and fishing (A)",2016,3280723968,2354445568,A
ALB,"Agriculture, forestry and fishing (A)",2017,3446885376,2476622592,A
ALB,"Agriculture, forestry and fishing (A)",2018,,,A
ALB,Manufacturing (C),2010,2128588032,650270400,C
ALB,Manufacturing (C),2011,2466450688,729860352,C
ALB,Manufacturing (C),2012,2110518784,568489920,C
ALB,Manufacturing (C),2013,2164787456,646452544,C
ALB,Manufacturing (C),2014,2293922048,704507328,C
ALB,Manufacturing (C),2015,1983895168,645804096,C
ALB,Manufacturing (C),2016,2043515648,674240896,C
ALB,Manufacturing (C),2017,2265964544,800087680,C
ALB,Manufacturing (C),2018,,,C
ALB,Mining and quarrying (B),2010,497164640,280323552,B
ALB,Mining and quarrying (B),2011,774570624,444693216,B
ALB,Mining and quarrying (B),2012,1029564800,556411904,B
ALB,Mining and quarrying (B),2013,1164890112,629478272,B
ALB,Mining and quarrying (B),2014,1157076608,661587200,B
ALB,Mining and quarrying (B),2015,713174144,370861696,B
ALB,Mining and quarrying (B),2016,554852544,290487552,B
ALB,Mining and quarrying (B),2017,592037568,312118912,B
ALB,Mining and quarrying (B),2018,,,B
ALB,Services,2010,6895176704,3984416512,S
ALB,Services,2011,7532156928,4331060736,S
ALB,Services,2012,7051240960,4211247104,S
ALB,Services,2013,7446104576,4299139584,S
ALB,Services,2014,7774797312,4587965440,S
ALB,Services,2015,6936186368,4046863360,S
ALB,Services,2016,7512021504,4252036864,S
ALB,Services,2017,8338970624,4849139200,S
ALB,Services,2018,,,S
AZE,"Agriculture, forestry and fishing (A)",2010,5129259520,2921073920,A
AZE,"Agriculture, forestry and fishing (A)",2011,6262865920,3347531520,A
AZE,"Agriculture, forestry and fishing (A)",2012,6722498560,3581386752,A
AZE,"Agriculture, forestry and fishing (A)",2013,7439635968,3979651328,A
AZE,"Agriculture, forestry and fishing (A)",2014,7413678592,4002307840,A
AZE,"Agriculture, forestry and fishing (A)",2015,6047939584,3278858752,A
AZE,"Agriculture, forestry and fishing (A)",2016,3899427072,2122425344,A
AZE,"Agriculture, forestry and fishing (A)",2017,4218388736,2291542784,A
AZE,"Agriculture, forestry and fishing (A)",2018,4537014272,2464740608,A
AZE,Manufacturing (C),2010,7159160320,2506572032,C
AZE,Manufacturing (C),2011,8160708096,2630411264,C
AZE,Manufacturing (C),2012,8966768640,2956422912,C
AZE,Manufacturing (C),2013,9233168384,3126413824,C
AZE,Manufacturing (C),2014,10290719744,3541542656,C
AZE,Manufacturing (C),2015,7720261120,2648932096,C
