country,year,gross_output15,gross_output16,gross_output17,gross_output18,gross_output19,gross_output20,gross_output21,gross_output22,gross_output23,gross_output24,gross_output25,gross_output26,gross_output27,gross_output28,gross_output29,gross_output30,gross_output31,gross_output32,gross_output33,gross_output34,gross_output35,gross_output36
ALB,2010,325704431,4361800,53414661,56414409,139533061,24984596,67546980,64917693,78482289,57116999,25311671,327747477,158913172,95122832,89256780,586958,4603407,2307607,1418827,7663606,2776393,91238114
ALB,2011,342354571,4708967,62454753,60021598,167728307,30839936,65864951,58092286,128985567,86435073,37195838,354005223,179937488,105233535,89757862,472074,5098135,642950,960757,8767850,3141584,115407812
ALB,2012,383163350,3129816,64200038,64214728,134434226,31554044,49830836,52661111,132233365,88401973,34559653,316188642,194037853,122992969,117852214,224531,4629030,303651,686196,7831939,2869197,110639777
ALB,2013,374853709,5420755,72490010,68523035,159406232,35077028,44076006,49515289,64830421,42079242,16329611,321525529,187516843,125928557,123865901,335086,4969996,496534,846284,8946280,3152338,107221154
ALB,2014,334858414,6231606,84869076,80982779,185155668,29002609,50420082,54345685,71562307,44769087,17488820,319081915,196749838,130908039,134915608,328162,3248064,455315,472172,5996552,2030406,121899463
ALB,2015,312751721,15986642,12673798,129021723,159997427,24039202,42169979,59761280,19572535,42902226,38440763,255766726,168886662,158183632,7245320,290124,7360609,1011314,1071137,6950674,2340609,76708072
ALB,2016,385718653,18514069,11053704,166286581,189142525,31106718,45371704,57657488,10188719,40075439,46659602,258232113,159144212,180874779,6488811,503789,6492429,1143760,1268687,6304554,2054363,82117479
ALB,2017,422677502,23909137,12211867,183709429,208960128,34365956,50125571,63698611,11256253,44274385,51548410,285288649,175818711,199826121,7002089,529916,6610388,1443046,1811118,7275051,2126273,90719867
AZE,2010,2609812496,27749330,36668535,43240516,25996387,15133620,14379867,47821591,2691790943,151140597,53972466,563370087,168400922,168286302,270981125,9259550,93481592,36403614,22382681,3791192,12730331,79127889
AZE,2011,2882911689,28838044,66279509,48818138,25299929,18292081,35320368,57544391,3145300790,241747986,99911864,355395689,247689588,133079477,317479353,20882570,217286364,28441424,42499845,4785446,13025430,64049508
