country,code,gender,age,edu,year,valueh_shares,valuew_shares
BEL,A,1,2,2,2010,21.667494,17.189856
BEL,A,2,3,1,2010,.8572244,.61596227
BEL,A,1,2,3,2010,11.341048,16.14184
BEL,A,2,1,3,2010,.80480933,2.3568134
BEL,A,2,3,3,2010,5.8205128,2.0195169
BEL,A,2,2,2,2010,6.6424026,6.6848001
BEL,A,1,3,1,2010,1.4906391,1.4834405
BEL,A,2,1,2,2010,1.2639483,3.2232435
BEL,A,1,3,3,2010,17.194851,7.1594558
BEL,A,1,3,2,2010,8.1021652,3.9801309
BEL,A,1,2,1,2010,4.4403615,5.9651031
BEL,A,2,2,1,2010,2.7771924,3.8723767
BEL,A,1,1,1,2010,1.3621416,2.7783515
BEL,A,1,1,2,2010,6.4915333,12.645915
BEL,A,2,3,2,2010,3.3324904,1.9351982
BEL,A,2,2,3,2010,3.5977073,4.8335171
BEL,A,2,1,1,2010,.64323628,1.4974115
BEL,A,1,1,3,2010,2.1702418,5.6170669
BEL,A,2,3,3,2011,5.5002003,1.8819021
BEL,A,1,2,1,2011,4.7274871,6.1636167
BEL,A,1,1,3,2011,2.2942252,5.6732106
BEL,A,1,1,1,2011,1.4846672,2.9050913
BEL,A,2,1,1,2011,.67275476,1.5258907
BEL,A,1,3,1,2011,1.7425879,1.5020057
BEL,A,2,1,3,2011,.86528057,2.2455475
BEL,A,2,3,2,2011,3.4988365,1.955712
BEL,A,1,2,3,2011,10.78458,15.497134
BEL,A,1,2,2,2011,21.790436,17.329302
BEL,A,1,3,3,2011,17.35413,7.2555518
BEL,A,2,2,2,2011,5.5718446,6.3760805
BEL,A,2,2,1,2011,2.4746192,3.9545281
BEL,A,2,2,3,2011,2.9611883,4.3113079
BEL,A,2,3,1,2011,.9583928,.68575513
BEL,A,1,3,2,2011,9.074007,4.2144828
BEL,A,1,1,2,2011,6.9104486,13.330581
BEL,A,2,1,2,2011,1.3343096,3.1923003
BEL,A,1,3,3,2012,16.771328,7.3132186
BEL,A,2,3,3,2012,5.4254327,1.8204947
BEL,A,2,2,3,2012,2.8672535,4.0537839
BEL,A,1,3,1,2012,1.9655945,1.5484438
BEL,A,2,3,1,2012,1.08729,.8335191
BEL,A,1,1,1,2012,1.5947274,2.9288924
BEL,A,2,1,2,2012,1.3993076,3.2216926
BEL,A,1,2,3,2012,9.954236,14.688745
BEL,A,1,2,1,2012,4.8861465,6.3326211
BEL,A,2,1,1,2012,.71790451,1.591828
BEL,A,1,3,2,2012,9.7382326,4.5103254
BEL,A,1,2,2,2012,21.202217,17.331635
BEL,A,2,2,2,2012,5.6097112,6.3676076
BEL,A,2,1,3,2012,.88613135,2.1504817
BEL,A,2,3,2,2012,3.7333541,2.1132801
BEL,A,2,2,1,2012,2.6985726,4.2501793
BEL,A,1,1,2,2012,7.1474061,13.462646
BEL,A,1,1,3,2012,2.3151555,5.4806066
BEL,A,1,2,2,2013,20.763634,17.705202
BEL,A,2,1,2,2013,1.4296328,3.2250278
BEL,A,2,1,1,2013,.74897391,1.5583524
BEL,A,2,2,3,2013,2.7159784,3.7747087
BEL,A,1,3,2,2013,10.670146,4.826961
BEL,A,1,3,3,2013,16.459118,7.4317946
BEL,A,2,3,3,2013,4.9611945,1.7540848
BEL,A,1,1,3,2013,2.3205857,5.1316495
BEL,A,1,1,1,2013,1.7720505,2.8980589
BEL,A,1,1,2,2013,7.4769192,13.176037
BEL,A,2,3,1,2013,1.1731867,.98168904
BEL,A,2,2,2,2013,5.4825749,6.3091044
BEL,A,1,2,1,2013,5.0763564,6.6623011
BEL,A,1,3,1,2013,2.2663732,1.6329432
BEL,A,2,3,2,2013,3.7717166,2.2232478
BEL,A,1,2,3,2013,9.2354727,14.113135
BEL,A,2,1,3,2013,.89666522,2.097542
BEL,A,2,2,1,2013,2.779418,4.4981604
BEL,A,2,3,3,2014,5.2214994,1.6485587
BEL,A,2,1,2,2014,1.4714682,3.3161373
BEL,A,2,1,3,2014,.90339249,2.0515151
BEL,A,2,3,2,2014,4.4575524,2.3154786
BEL,A,1,2,3,2014,8.3429966,13.409446
BEL,A,2,3,1,2014,1.5131981,1.1784689
BEL,A,1,1,2,2014,7.804791,13.55272
BEL,A,1,2,2,2014,19.904224,17.786039
BEL,A,1,3,1,2014,2.5235682,1.6505017
BEL,A,1,1,3,2014,2.3706203,5.1107116
BEL,A,1,1,1,2014,1.9271643,2.9493988
BEL,A,1,2,1,2014,5.1915379,6.8750796
BEL,A,1,3,2,2014,11.211417,5.1499038
BEL,A,1,3,3,2014,15.761378,7.490366
BEL,A,2,1,1,2014,.81740725,1.6270497
BEL,A,2,2,3,2014,2.4963934,3.3770349
BEL,A,2,2,2,2014,5.2307014,5.984302
BEL,A,2,2,1,2014,2.8506913,4.527288
BEL,A,2,3,3,2015,4.6041212,1.5908412
BEL,A,1,1,3,2015,2.4046354,4.8387494
BEL,A,1,3,1,2015,2.7605913,1.6845074
BEL,A,1,2,2,2015,20.015436,17.832903
BEL,A,2,1,2,2015,1.5885707,3.3684037
BEL,A,2,2,1,2015,3.1402996,4.7426238
BEL,A,2,1,3,2015,.93087566,1.9782611
BEL,A,1,2,3,2015,7.7740026,12.706688
BEL,A,1,2,1,2015,5.6026411,7.1288967
BEL,A,1,1,1,2015,2.1346931,3.0588179
BEL,A,2,2,2,2015,5.3619385,5.9692678
BEL,A,2,2,3,2015,2.4127085,3.1707706
BEL,A,1,3,3,2015,14.533105,7.4509921
BEL,A,2,3,2,2015,4.2562213,2.441762
BEL,A,1,3,2,2015,11.61433,5.4111056
BEL,A,1,1,2,2015,8.2666798,13.450441
BEL,A,2,1,1,2015,1.0457474,1.7593935
BEL,A,2,3,1,2015,1.553405,1.415574
BEL,A,2,3,1,2016,1.89735,1.6590371
BEL,A,1,3,1,2016,2.9841146,1.783855
BEL,A,2,3,2,2016,4.7332239,2.4593818
BEL,A,1,3,3,2016,13.607856,7.3940315
BEL,A,2,1,1,2016,1.2851319,1.9074519
BEL,A,1,3,2,2016,11.808293,5.786684
BEL,A,1,1,3,2016,2.3948352,4.7011418
BEL,A,2,3,3,2016,4.5182519,1.4721581
BEL,A,2,2,3,2016,2.2399454,2.8891959
BEL,A,2,2,1,2016,3.2801831,4.9539385
BEL,A,2,2,2,2016,5.2138147,5.8276248
BEL,A,1,1,1,2016,2.3465564,3.287256
BEL,A,2,1,2,2016,1.6607051,3.4105754
BEL,A,1,2,1,2016,5.9216094,7.3797269
BEL,A,1,2,3,2016,7.0880628,12.01614
BEL,A,2,1,3,2016,.92846596,1.922352
BEL,A,1,1,2,2016,8.4613838,13.37454
BEL,A,1,2,2,2016,19.63022,17.774902
BEL,A,2,3,2,2017,4.3581095,2.5448637
BEL,A,1,3,3,2017,13.305861,7.270277
BEL,A,2,1,1,2017,1.4498088,2.1782675
BEL,A,2,2,3,2017,2.152674,2.6626234
BEL,A,2,1,2,2017,1.5948712,3.2949269
BEL,A,2,3,3,2017,4.0187488,1.3663701
BEL,A,2,3,1,2017,1.8717091,1.9700179
BEL,A,1,1,1,2017,2.7113349,3.5173116
BEL,A,1,1,2,2017,9.1534462,13.725421
BEL,A,1,2,3,2017,6.5428643,11.396712
BEL,A,1,2,1,2017,6.2470207,7.5605712
BEL,A,2,1,3,2017,.92962599,1.9663839
BEL,A,1,1,3,2017,2.3184018,4.2813592
BEL,A,2,2,1,2017,3.6322219,5.2401819
BEL,A,2,2,2,2017,5.1967607,5.6227984
BEL,A,1,3,2,2017,12.11603,6.1985068
BEL,A,1,3,1,2017,3.1926005,1.8769662
BEL,A,1,2,2,2017,19.207914,17.326441
BEL,B,1,2,1,2010,9.2073345,13.447711
BEL,B,1,1,1,2010,2.1708779,2.2669461
BEL,B,2,1,2,2010,.18855508,.11781462
BEL,B,1,3,2,2010,8.303318,9.0438423
