country,code,year,valuecomp,valueemp,valueempe,valuego,valuego_pi,valuego_pyp,valuego_q,valueh_emp,valueh_empe,valueii,valueii_pi,valueii_pyp,valueii_q,valuelp_qi,valueva,valueva_pi,valueva_pyp,valueva_q
BEL,A,2010,410.70001,64.247871,19.8305,8980.7002,100,8300.9004,8980.7002,147583.39,28245.572,6197.1001,100,5858.2998,6197.1001,100,2783.6001,100,2442.6001,2783.6001
BEL,A,2011,454.5,61.58675,20.42325,9321.7002,102.376,9106.2002,9105.2998,143812.41,30063.223,6880.6001,109.234,6299,6299,103.45903,2441.1001,86.987,2807.2,2806.3
BEL,A,2012,482,60.709751,21.060499,10242.8,113.737,9220.0996,9005.7002,137219.47,30813.051,7202.7998,115.753,6797.2002,6222.6001,107.60303,3040,109.162,2422.8999,2784.8999
BEL,A,2013,500.10001,59.664623,21.115499,10154,116.237,9935.5996,8735.5996,134323.34,31419.967,7454.7998,117.582,7338.7998,6340.1001,93.897781,2699.2,113.464,2596.8,2378.8999
BEL,A,2014,531.40002,59.472126,21.5585,9736.2998,110.765,10217.3,8790.0996,136616.45,32421.266,7138.1001,111.488,7528.2002,6402.6001,91.976318,2598.2,109.628,2689.1001,2370
BEL,A,2015,560.20001,60.140251,22.714251,9873.4004,106.369,10281.5,9282.2002,140252.95,34275.473,7000.7998,107.822,7238.8999,6492.8999,104.91282,2872.6001,103.506,3042.6001,2775.3
BEL,A,2016,579.70001,59.237999,22.740999,9756.5996,104.805,9902.2002,9309.2998,140756.34,34818.332,7060.3999,105.614,7208,6685.1001,98.047569,2696.2,103.582,2694.2,2603
BEL,A,2017,609.79999,58.403873,22.724251,10362.4,112.769,9630.5996,9189.0996,142021.38,35636.309,7454.6001,109.443,7193.7998,6811.3999,87.822655,2907.8,123.603,2436.8,2352.5
BEL,B,2010,130,2.6784999,2.60075,670.59998,100,668.70001,670.59998,3988.7529,3810.415,421.89999,100,410.10001,421.89999,100,248.7,100,258.60001,248.7
BEL,B,2011,139.3,2.6600001,2.5699999,707,102.081,692.59998,692.59998,4144.7588,3929.8291,435.5,105.889,411.29999,411.29999,108.85085,271.5,96.512001,281.29999,281.29999
BEL,B,2012,135,2.578625,2.5014999,636.70001,104.207,623.70001,611,3941.842,3756.6431,393,108.794,382.5,361.20001,101.67833,243.7,97.508003,241.2,249.89999
BEL,B,2013,131.60001,2.48575,2.4202499,619.5,105.043,614.5,589.79999,3746.988,3593.4309,394.39999,109.518,391.79999,360.10001,97.763145,225.10001,98.565002,222.7,228.39999
BEL,B,2014,165.2,2.6745,2.6075001,778.5,106.423,768.5,731.5,4177.5352,4016.6069,498.5,108.71,502.20001,458.60001,103.73531,280,103.643,266.29999,270.20001
BEL,B,2015,144.60001,2.37975,2.3139999,646.40002,107.373,640.70001,602,3688.604,3537.5259,424.39999,108.424,425.5,391.39999,90.309998,222,106.898,215.2,207.7
BEL,B,2016,146.2,2.4247501,2.33775,653.29999,106.874,656.29999,611.29999,3761.6531,3565.885,414.89999,108.296,415.39999,383.10001,96.102913,238.39999,105.79,240.89999,225.39999
