country,code,year,valueCOMP,valueEMP,valueEMPE,valueGO,valueGO_PI,valueGO_PYP,valueGO_Q,valueH_EMP,valueH_EMPE,valueII,valueII_PI,valueII_PYP,valueII_Q,valueLP_QI,valueVA,valueVA_PI,valueVA_PYP,valueVA_Q
AUT,A,2010,515.7,198.95,23,8685,100,7868.038,8685,487019,42768,4935,100,4732.386999130249,4935,100,3750,100,3135.7,3750
AUT,A,2011,553,195.78,24.44,9855.799999999999,106.5454917726639,9250.321,9250.321,500899,46669,5508,110.9184350953746,4965.811134338379,4965.811134338379,111.0873532322218,4347.7,101.4750846073054,4284.5,4284.5
AUT,A,2012,585.9,184.9,25.27,9906.6,112.8468395964968,9353.416999999999,8778.801458173528,452748,48132,5609.4,116.9475911900695,5320.211074829102,4796.507514963091,114.0114353553642,4297.2,108.117314579901,4033.2,3974.571526029049
AUT,A,2013,613.5,182.57,25.91,9697.5,112.0882643091831,9763.129000000001,8651.663989773737,434110,47845,5633.3,117.7698884115389,5593.966869354248,4783.310977008668,115.3645312776793,4064.2,105.394418566469,4169.2,3856.181432830652
AUT,A,2014,655.3,188.47,27.33,9576.200000000001,108.2610842812089,9914.732,8845.468400377142,435516,50258,5576,114.4530413808931,5737.592178344727,4871.867040599992,118.1864771170108,4000.2,100.9309683953978,4177.1,3963.302902563251
AUT,A,2015,673.3,176.55,28.32,9345.700000000001,104.886573086407,9646.378999999999,8910.2920659834,415439,49318,5456.3,112.103742592743,5570.644790649414,4867.188082936679,126.2365588082631,3889.5,96.3198951792362,4075.7,4038.106553959855
AUT,A,2016,688.2,171.73,28.39,9293.4,103.1996069472141,9445.315999999999,9005.266856058388,412331,49765,5329.4,109.6207604362349,5450.114212036133,4861.67034309167,130.644512698317,3963.9,95.56528646900642,3995.2,4147.845045476388
AUT,A,2017,711.6,167.56,28.87,9807.1,107.7867611179856,9389.733,9098.612759376772,406585,50500,5361.7,110.8331263746722,5303.050086975098,4837.633093444223,136.5953411336042,4445.5,103.9556293663711,4086.7,4276.343693069967
AUT,B,2010,337.6,6.33,6.21,2288.9,100,2144.749,2288.9,10877,10467,1112.7,100,1076.917022705078,1112.7,100,1176.1,100,1067.8,1176.1
AUT,B,2011,341.3,6.21,6.09,2660,106.8928570456949,2488.473,2488.473106171065,10800,10377,1161.9,104.7670342656093,1109.032012939453,1109.03206160662,118.1221528738651,1498.1,108.605188408127,1379.4,1379.400028634264
AUT,B,2012,347.3,6.27,6.14,2718.3,110.4364689088584,2631.077,2461.415170964379,11187,10736,1207.7,107.1687232922022,1180.635040283203,1126.914609878416,110.4049296361756,1510.6,113.1129308712761,1450.4,1335.479496786341
AUT,B,2013,354.3,6.31,6.15,2644.6,110.2646904627785,2648.72,2398.410578128566,11161,10680,1167.5,108.87642751536,1149.187957763672,1072.31659473332,109.8489707300771,1477.1,111.4232127306819,1499.5,1325.666316560319
AUT,B,2014,376.9,6.42,6.26,2443.2,108.8068115196253,2475.936,2245.447657070003,11143,10670,1041.7,109.3201289878792,1037.472015380859,952.8894720893513,107.1511767462936,1401.5,108.5572680298824,1438.5,1291.023646260342
AUT,B,2015,370.9,6.34,6.18,2133.5,100.6287375498962,2306.889,2120.169696993481,11135,10635,985.7,109.3069309898757,985.8189697265625,901.7726424789091,101.0767907819303,1147.8,94.31688157194688,1321.1,1216.961355029995
AUT,B,2016,377.8,6.31,6.16,2044.8,95.67473460336376,2150.679,2137.241361031283,10778,10359,1044.6,108.9103237935281,1048.404022216797,959.1377232339795,100.2852485308064,1000.2,85.58083004750291,1102.3,1168.719676409804
AUT,B,2017,381.6,6.34,6.18,2192.8,98.60431200793727,2127.651,2223.837837663213,11005,10568,1103,110.126708576407,1090.816986083984,1001.573563995811,101.8106758681724,1089.8,89.95562280482432,1036.8,1211.486248463341
AUT,C,2010,26669,611.91,593.14,151214.4,100,146774.404,151214.4,1006839,964963,102455,100,95818.27052307129,102455,100,48759.3,100,50956.1,48759.3
AUT,C,2011,28149.1,620.78,602.3099999999999,169445.5,104.1262949724935,162730.756,162730.7492740058,1023314,980218,117977.8,106.8194434992197,110445.9975967407,110445.9975967407,105.5040413919323,51467.7,98.43721468695598,52284.8,52284.7991622624
AUT,C,2012,29682.4,626.85,608.63,174289.8,105.5616768044037,171919.883,165107.077943583,1030417,987622,121055.2,108.2975668336118,119402.9481201172,111780.1660179393,106.9127066803286,53234.6,99.78246372939024,52516.9,53350.65702964809
AUT,C,2013,30387.4,625.24,607.25,174466.1,105.3483703375083,174819.351,165608.7317165485,1023440,982126,121034.7,107.9305931696259,121446.2319335938,112141.2348858117,107.9215994208169,53431.4,99.89146009875795,53373.1,53489.45740424148
AUT,C,2014,31117.5,624.9,607.22,174547.3,104.8662249960791,175349.813,166447.5859663359,1021989,980148,119378.3,106.7283254813382,120723.0695800781,111852.4997573148,110.4925415123494,55169,100.8831176152358,54626.7,54686.05779057339
AUT,C,2015,31786.4,627.9400000000001,610.5,176187.7,103.9131029933095,177803.743,169552.9196268385,1020955,978706,118717.3,103.9375347472958,121904.9338989258,114219.8535770916,112.0675705087916,57470.5,103.7196363948137,55898.8,55409.46921683742
AUT,C,2016,32810.2,631.3200000000001,613.97,177243,103.1398275914017,178571.856,171847.2913316911,1021867,982344,117717.1,102.7270217288419,119104.2497253418,114592.1472450801,115.8584246646161,59525.9,103.8213195769468,59467.6,57334.94839263972
AUT,C,2017,33990,640.41,623.45,188948.9,105.4653992317832,184782.47,179157.2414994075,1036867,997273,127416.2,106.9184122841736,122421.2615966797,119171.4292028077,119.6210046159326,61532.7,102.441998284873,62361.2,60065.89194881623
AUT,C10-C12,2010,2566.2,80.48,77.13,17087.8,100,17004.649,17087.8,129237,121530,11988.6,100,11747.70545959473,11988.6,100,5099.2,100,5256.9,5099.2
AUT,C10-C12,2011,2633.8,80.55,77.44,18304.9,104.018930450569,17597.663,17597.66219543922,128960,121319,13397.5,105.2278492556235,12731.89527130127,12731.8956861451,95.62777145870029,4907.4,100.8549506343472,4865.8,4865.799813627328
AUT,C10-C12,2012,2728.5,80.47,77.31,19482.9,106.9396070329643,18950.794,18218.60070422213,127505,119962,14100.8,109.1286965322251,13596.76147460938,12921.25760508475,105.5209665830207,5382.1,101.3842769905275,5354,5308.614076818694
AUT,C10-C12,2013,2820.1,81.27,78.15000000000001,20211.7,109.3407596762979,19767.846,18485.05539913616,129146,121841,15046.9,111.4069728686066,14739.19018554688,13506.24616445357,97.3394692079015,5164.8,104.1282087421687,5028.7,4960.039227015354
AUT,C10-C12,2014,2931.2,81.97,78.98,20422.7,109.2122528309854,20446.73,18700.00798500672,129280,122014,14916.8,110.2817459603833,15068.99951171875,13526.08255346138,101.2468845469017,5505.8,106.6086003332891,5377.7,5164.498907956099
AUT,C10-C12,2015,3008.9,83.15000000000001,80.14,21243.9,108.3217159501126,21418.55,19611.85697038241,130236,122755,15594.3,108.8393246739961,15800.96728515625,14327.81767684543,102.5444969520506,5649.7,107.2177776874085,5617.6,5269.368682935769
AUT,C10-C12,2016,3099.2,83.53,80.56,21416.1,108.0987879467739,21460.266,19811.60048764371,130321,123369,15569.9,108.230538236357,15657.47900390625,14385.86581358211,105.2546288596371,5846.2,108.0196790489832,5802.8,5412.16197962313
AUT,C10-C12,2017,3206.5,84.83,81.89,22300.1,109.6291628976016,21988.8,20341.3940329265,132272,124997,16578.9,112.2596281268958,15983.8701171875,14768.35464060115,106.5172104004413,5721.3,102.9181186014431,6004.9,5559.079467975988
AUT,C13-C15,2010,653.4,21.62,20.46,2983.1,100,2942.129,2983.1,33460,31006,1887,100,1790.776000976563,1887,100,1096.1,100,1151.4,1096.1
AUT,C13-C15,2011,663.2,21.33,20.2,3174.4,105.0958474467723,3020.481,3020.48090112003,33204,30704,2074.8,106.6952965857136,1944.603057861328,1944.603057861328,98.91388752168291,1099.6,102.2028046758974,1075.9,1075.900023964137
AUT,C13-C15,2012,666.2,21.2,20.05,3032.7,107.0015277688349,2978.688,2834.258597271449,32601,30031,2004.4,108.600961666098,1969.22802734375,1845.655848023411,92.48863204121204,1028.3,104.1061334470845,1009.5,987.7419955498281
AUT,C13-C15,2013,683.5,20.69,19.5,3128.1,107.9203028063975,3101.469,2898.527819748264,31959,29411,2126.5,108.9825708507482,2119.053955078125,1951.229433660768,90.13523460235379,1001.6,106.1407860463337,982.4,943.6523294285493
AUT,C13-C15,2014,684.3,20.18,19.02,3187,108.2670869800493,3176.792,2943.646207630281,31151,28621,2153.3,109.6526681076903,2140.140991210938,1963.74610591804,95.71380370966085,1033.8,105.8438718434113,1036.7,976.7216391416936
AUT,C13-C15,2015,678.2,19.32,18.18,3282.5,109.4526433345844,3246.945,2999.013911400722,29558,27086,2202.8,110.9687998931413,2176.674011230469,1985.062469920566,104.433660503532,1079.7,106.7734596159503,1070.3,1011.206346486791
AUT,C13-C15,2016,657.4,18.06,17.02,3127.9,110.2404578279596,3105.547,2837.343078601303,27494,25302,2083.2,112.3946125698391,2056.773040771484,1853.469621335768,109.0604321254176,1044.7,106.3560528377574,1048.8,982.2666149463588
AUT,C13-C15,2017,643.6,17.24,16.23,3147.5,110.5777560655628,3137.899,2846.413340250648,26696,24493,2120.8,114.1239000711932,2088.6640625,1858.33116347846,112.8043003774337,1026.7,104.075251948948,1049.2,986.4977319522869
AUT,C16-C18,2010,2678.5,65.36,62.51,16243.9,100,15667.034,16243.9,108915,102239,11381.1,100,10612.18078613281,11381.1,100,4862.8,100,5054.9,4862.8
AUT,C16-C18,2011,2754.3,65.69,62.77,17317.8,102.0403678447969,16971.519,16971.5185918776,110299,103134,12400.3,105.8515495448666,11714.80212402344,11714.80252610186,106.7438647467923,4917.6,93.54918109244353,5256.7,5256.700211133351
AUT,C16-C18,2012,2845.9,64.94,62.1,17087.8,102.0375718756884,17088.269,16746.57646775242,108605,101572,12198.6,105.3482017486883,12256.88403320313,11579.31487914732,106.5085479858566,4889.2,94.66834981166474,4831.4,5164.556063062977
AUT,C16-C18,2013,2819.7,63.31,60.54,16970,101.8648205281634,16998.78,16659.33333216659,105926,99145,12201.3,105.8254035518124,12146.27990722656,11529.65128455779,108.3825675099718,4768.7,93.03348331398091,4852.5,5125.78894192965
AUT,C16-C18,2014,2867.8,62.24,59.44,16709.5,101.5992560822704,16753.176,16446.47868924298,103735,96898,11836.6,105.3081849383581,11894.73498535156,11239.96202852468,112.7534774556358,4872.8,93.3092326814651,4858.4,5222.205627426546
AUT,C16-C18,2015,2899.6,61.67,58.89,16981.3,101.8571063816665,16938.312,16671.68899965579,102438,95379,11859.5,104.2815548031345,11976.25390625,11372.57688801119,116.2735972175838,5121.7,96.31040847006402,4962.1,5317.90912463212
AUT,C16-C18,2016,2946.1,61.5,58.82,17098.4,101.7129804004334,17122.629,16810.44044986725,101929,95338,11718.2,103.7070785607832,11783.11193847656,11299.32514021394,121.8234442194095,5380.3,97.04633588386184,5339.5,5544.05269503298
AUT,C16-C18,2017,2993,61.17,58.74,17513.4,101.9813378095558,17467.315,17173.14204360141,100798,94967,12151.8,105.2033439721307,11978.96997070313,11550.77352219823,125.6654820405318,5361.6,94.80424451323333,5488.4,5655.442989423957
AUT,C19,2010,151.2,1.57,1.55,4906.6,100,3859.206,4906.6,2430,2369,4630.2,100,3705.195068359375,4630.2,100,276.4,100,154,276.4
AUT,C19,2011,137.2,1.37,1.36,6290.8,123.0296275004897,5113.24,5113.239898230988,2113,2079,6062.2,132.2856450374508,4582.6591796875,4582.658986380389,220.7679338215432,228.6,43.08330097097866,530.6,530.600011716807
AUT,C19,2012,129,1.29,1.27,7020.4,133.7149125449296,6459.393,5250.274532873116,1964,1926,6756,143.1180962421379,6244.64599609375,4720.57704608486,223.1783415818018,264.4,53.03177411949375,214.8,498.5690265693189
AUT,C19,2013,123.5,1.22,1.19,6495.4,126.4881960855996,6866.505,5135.182729307248,1884,1817,6461.1,134.7616846498511,6861.7451171875,4794.463661379541,4.223693814477831,34.4,380.0610390828903,4.8,9.051177695827288
AUT,C19,2014,130.8,1.24,1.21,6025.1,118.1682481184209,6449.313,5098.746995015123,1885,1811,6022.6,125.9060320402892,6446.2021484375,4783.408628168667,.3804216312978307,2.5,306.5008515655136,3.1,.815658418967111
AUT,C19,2015,132.8,1.26,1.24,4333.3,91.1746887142576,5616.235,4752.744496425545,2030,1977,3886.3,91.59972865499643,5341.81298828125,4242.698157586755,38.7725726618749,447,499.2925679656873,274.4,89.52666806583009
AUT,C19,2016,144.5,1.3,1.27,3621.3,78.70847722600519,4194.858,4600.902123416418,2007,1964,3296.6,79.89407912897593,3779.60009765625,4126.213151137493,36.43574818754894,324.7,390.3691230880295,415.3,83.17768511798488
AUT,C19,2017,152.6,1.32,1.32,4410.7,91.57532294664723,3790.972,4816.472230810173,2063,2056,4011.4,92.71264191975374,3456.779052734375,4326.702288855081,36.48379250273674,399.3,466.4105227681526,334.2,85.61127601284578
AUT,C20,2010,1021.3,17.24,17.05,12322.8,100,11474.828,12322.8,27851,27413,10378.4,100,9286.189453125,10378.4,100,1944.4,100,2188.6,1944.4
AUT,C20,2011,1082.6,17.7,17.49,13172.3,108.9096589740417,12094.703,12094.70319169724,28378,27887,11038.1,111.0542379366191,9939.3779296875,9939.377555586545,108.7880319087641,2134.2,99.02101919905387,2155.3,2155.299972937858
AUT,C20,2012,1157.3,17.83,17.64,13674.1,111.1425131384883,13399.387,12303.2128875487,28531,28049,11824.9,112.6452197885818,11657.88671875,10497.47163900391,88.29462852786025,1849.2,105.1447973089547,1741.5,1758.717546971306
AUT,C20,2013,1162,17.4,17.18,13946.1,111.2606148201885,13931.296,12534.6242446518,27629,27134,11779.2,113.5443682542715,11685.921875,10374.09444528472,110.7123211512114,2166.9,101.4688943051148,2245.4,2135.531302316331
AUT,C20,2014,1170.4,17.23,17.02,13962.8,108.6107377701544,14303.463,12855.81912678701,27386,26894,11550.6,110.8855446750506,11827.5615234375,10416.68689444504,127.6223591661769,2412.2,98.85829630113805,2475.9,2440.058235124805
AUT,C20,2015,1169.7,17.47,17.28,13142.2,103.7946342617306,13752.002,12661.73352165813,27662,27147,10390.9,100.8295612959628,11427.2099609375,10305.41030472187,121.7710604061069,2751.3,116.9945049499661,2324.8,2351.648909644621
AUT,C20,2016,1279.6,17.63,17.43,13226.7,100.542560913881,13654.521,13155.32435197193,27883,27386,9959,95.82233447753185,10479.4111328125,10393.19283369699,139.414394967007,3267.8,120.41027056173,3175.1,2713.888096717395
AUT,C20,2017,1300.1,17.61,17.4,13356.4,105.511212782842,12727.431,12658.74938570698,27572,27081,10419.6,104.1494675528217,9586.5146484375,10004.46785262294,135.5119147708949,2936.8,112.5858473270601,3140.9,2608.498376770788
AUT,C20_C21,2010,1691.900024414063,29.40999984741211,29.1299991607666,15928.7998046875,100,15043.705078125,15928.7998046875,47897,47203,12189,100,11066.69921875,12189,100,3739.800048828125,100,3977,3739.800048828125
AUT,C20_C21,2011,1786.199951171875,30.27000045776367,29.95999908447266,16969.30078125,106.5840176638138,15921.0556640625,15921.0556640625,48856,48100,12960.599609375,109.7912398171389,11804.7666015625,11804.7666015625,107.9068515250454,4008.699951171875,97.38600542669185,4116.2998046875,4116.2998046875
AUT,C20_C21,2012,1978.900024414063,31.06999969482422,30.79000091552734,17560.099609375,108.212518533781,17295.8359375,16227.41975448359,50562,49830,13737.2998046875,111.2026371220912,13562.9443359375,12353.39391241692,97.09245387067854,3822.800048828125,99.73137133052732,3732.89990234375,3833.096845884825
AUT,C20_C21,2013,2033.800048828125,31.61000061035156,31.29999923706055,18044,108.4133616426089,18010.572265625,16643.70491479005,50657,49938,13900.099609375,112.0760200369859,13791.779296875,12402.38509967419,106.9492121212967,4143.7998046875,97.95839010456854,4218.7998046875,4230.163235904633
AUT,C20_C21,2014,2128,31.90999984741211,31.6200008392334,18134.5,106.4520358418825,18468.619140625,17035.37171138361,51136,50431,13605.400390625,109.8730434070967,13878.19140625,12382.83747198562,117.3659338821906,4529.10009765625,96.65026220533125,4590.39990234375,4686.071195579668
AUT,C20_C21,2015,2169,32.65000152587891,32.40999984741211,17411.099609375,102.7426997827114,18039.6953125,16946.31311635513,51820,51169,12468.900390625,101.5423378640925,13491.8701171875,12279.50887571032,116.2949410820677,4942.10009765625,105.0299685116178,4547.7998046875,4705.419003443369
AUT,C20_C21,2016,2344.5,33.34000015258789,33.09000015258789,17526.900390625,100.5616425518383,17907.037109375,17429.0116448626,52582,51952,12025.7001953125,97.29079077012489,12551.2158203125,12360.57400718058,124.2035269592194,5501.2998046875,107.8832977949613,5355.7998046875,5099.306303319583
AUT,C20_C21,2017,2402.800048828125,33.59000015258789,33.34999847412109,17802.599609375,104.680408527474,17102.13671875,17006.62030250158,52457,51860,12551.2001953125,104.46770702417,11688.9345703125,12014.43063396482,122.5057165795132,5251.2998046875,104.6566763095705,5413.2001953125,5017.644348989601
AUT,C21,2010,670.6,12.17,12.08,3606,100,3568.877,3606,20046,19790,1810.6,100,1780.510009765625,1810.6,100,1795.4,100,1788.4,1795.4
AUT,C21,2011,703.6,12.57,12.47,3797,99.23287265968402,3826.353,3826.353000000001,20478,20213,1922.5,103.0616099282831,1865.389038085938,1865.389063238774,106.9194101713591,1874.5,95.58898651145708,1961,1960.99997333409
