SITC4,ISIC4
1,1
11,10
12,10
16,10
17,10
22,10
23,10
24,10
25,1
34,3
35,10
36,3
37,10
41,1
42,10
43,1
44,1
45,1
46,10
47,10
48,10
54,1
56,10
57,1
58,10
59,10
61,10
62,10
71,10
72,10
73,10
74,1
75,1
81,10
91,10
98,10
111,11
112,11
121,1
122,12
211,10
212,10
222,1
223,1
231,2
232,20
244,16
245,2
246,16
247,2
248,16
251,17
261,1
264,1
265,13
266,20
267,20
268,1
272,1
273,8
274,8
277,8
278,8
281,7
283,7
284,24
285,7
286,7
287,7
289,7
292,1
321,5
322,19
325,19
333,6
334,19
335,20
342,19
343,6
344,19
345,35
351,35
411,10
421,10
422,10
431,10
511,20
512,20
513,20
514,20
515,20
516,20
522,20
523,20
524,20
525,20
531,20
532,20
533,20
541,21
542,21
551,20
553,20
554,20
562,20
571,20
572,20
573,20
574,20
575,20
581,22
582,22
583,22
591,20
592,10
593,20
597,20
598,20
611,15
612,15
613,15
621,22
625,22
629,22
633,16
634,16
635,16
641,17
642,17
651,13
652,13
653,13
654,13
655,13
656,13
657,13
658,13
659,13
661,23
662,23
663,23
664,23
665,23
666,23
667,3
671,24
672,24
673,24
674,24
675,24
676,24
677,24
678,24
679,24
681,24
682,24
683,24
684,24
685,24
686,24
687,24
689,24
691,25
692,25
693,25
694,25
695,25
696,25
697,25
699,25
711,25
712,28
713,28
714,30
716,27
718,28
721,28
722,28
723,28
724,28
725,28
726,28
727,28
728,28
731,28
733,28
735,28
737,28
741,28
742,28
743,28
744,28
745,28
746,28
747,28
748,28
749,25
751,28
752,26
759,26
761,26
762,26
763,26
764,26
771,27
772,27
773,27
774,26
775,27
776,26
778,27
781,29
782,29
783,29
784,29
785,30
786,29
791,30
792,30
793,30
811,16
812,25
813,27
821,31
831,15
841,14
842,14
843,14
844,14
845,14
846,14
848,14
851,15
871,26
872,32
873,26
874,26
881,26
882,20
883,59
884,27
885,26
891,25
892,58
893,22
894,32
895,32
896,90
897,32
898,58
899,32
961,32
971,24
