country,subitem,year,gross_output,value_added,subitem_code
,"Agriculture, forestry and fishing (A)",2010,16071319879680,13110123429888,A
,"Agriculture, forestry and fishing (A)",2011,18990051098624,15488231931904,A
,"Agriculture, forestry and fishing (A)",2012,23519503056896,19095552524288,A
,"Agriculture, forestry and fishing (A)",2013,27484110192640,22129215012864,A
,"Agriculture, forestry and fishing (A)",2014,27729653137408,22969225052160,A
,"Agriculture, forestry and fishing (A)",2015,31142898040832,26346673668096,A
,"Agriculture, forestry and fishing (A)",2016,35833423855616,30160063561728,A
,"Agriculture, forestry and fishing (A)",2017,41981627596800,34984236679168,A
,"Agriculture, forestry and fishing (A)",2018,43675161722880,36539300052992,A
,Manufacturing (C),2010,14015613894656,3021535707136,C
,Manufacturing (C),2011,16791128506368,4031541149696,C
,Manufacturing (C),2012,20079066480640,5881780502528,C
,Manufacturing (C),2013,21976552833024,6648876236800,C
,Manufacturing (C),2014,24052924153856,7533518913536,C
,Manufacturing (C),2015,26482323750912,7411671760896,C
,Manufacturing (C),2016,30071081402368,8467126419456,C
,Manufacturing (C),2017,31496335261696,9102281408512,C
,Manufacturing (C),2018,30606226358272,10418294620160,C
,Mining and quarrying (B),2010,2617944047616,1779710951424,B
,Mining and quarrying (B),2011,3723466113024,2688583467008,B
,Mining and quarrying (B),2012,4434031542272,3071558025216,B
,Mining and quarrying (B),2013,4569488162816,3125480521728,B
,Mining and quarrying (B),2014,4698456719360,3097933381632,B
,Mining and quarrying (B),2015,5677689864192,4055619338240,B
,Mining and quarrying (B),2016,6983686029312,5299362594816,B
,Mining and quarrying (B),2017,8134593085440,5560119328768,B
,Mining and quarrying (B),2018,8826344439808,6573058949120,B
,Services,2010,24872677801984,14838993518592,S
,Services,2011,28170896015360,16843903336448,S
,Services,2012,63967456133120,37904336289792,S
,Services,2013,72694158589952,43854883454976,S
,Services,2014,82696063680512,49960582119424,S
,Services,2015,91492056039424,55672855068672,S
,Services,2016,101773209501696,61878743072768,S
,Services,2017,109073479499776,64577639284736,S
,Services,2018,57572325326848,35915669962752,S
ALB,"Agriculture, forestry and fishing (A)",2010,3006353664,2141580928,A
ALB,"Agriculture, forestry and fishing (A)",2011,3300625664,2349568768,A
ALB,"Agriculture, forestry and fishing (A)",2012,3233459968,2312038400,A
ALB,"Agriculture, forestry and fishing (A)",2013,3497113344,2499689984,A
ALB,"Agriculture, forestry and fishing (A)",2014,3666173952,2644326144,A
ALB,"Agriculture, forestry and fishing (A)",2015,3132628992,2252344320,A
ALB,"Agriculture, forestry and fishing (A)",2016,3280723968,2354445568,A
ALB,"Agriculture, forestry and fishing (A)",2017,3446885376,2476622592,A
ALB,"Agriculture, forestry and fishing (A)",2018,,,A
ALB,Manufacturing (C),2010,2128588032,650270400,C
ALB,Manufacturing (C),2011,2466450688,729860352,C
ALB,Manufacturing (C),2012,2110518784,568489920,C
ALB,Manufacturing (C),2013,2164787456,646452544,C
ALB,Manufacturing (C),2014,2293922048,704507328,C
ALB,Manufacturing (C),2015,1983895168,645804096,C
ALB,Manufacturing (C),2016,2043515648,674240896,C
ALB,Manufacturing (C),2017,2265964544,800087680,C
ALB,Manufacturing (C),2018,,,C
ALB,Mining and quarrying (B),2010,497164640,280323552,B
ALB,Mining and quarrying (B),2011,774570624,444693216,B
ALB,Mining and quarrying (B),2012,1029564800,556411904,B
ALB,Mining and quarrying (B),2013,1164890112,629478272,B
ALB,Mining and quarrying (B),2014,1157076608,661587200,B
ALB,Mining and quarrying (B),2015,713174144,370861696,B
ALB,Mining and quarrying (B),2016,554852544,290487552,B
ALB,Mining and quarrying (B),2017,592037568,312118912,B
ALB,Mining and quarrying (B),2018,,,B
ALB,Services,2010,6895176704,3984416512,S
ALB,Services,2011,7532156928,4331060736,S
ALB,Services,2012,7051240960,4211247104,S
ALB,Services,2013,7446104576,4299139584,S
ALB,Services,2014,7774797312,4587965440,S
ALB,Services,2015,6936186368,4046863360,S
ALB,Services,2016,7512021504,4252036864,S
ALB,Services,2017,8338970624,4849139200,S
ALB,Services,2018,,,S
ARM,"Agriculture, forestry and fishing (A)",2010,,,A
ARM,"Agriculture, forestry and fishing (A)",2011,3035541248,2061419520,A
ARM,"Agriculture, forestry and fishing (A)",2012,2844196608,1902205184,A
ARM,"Agriculture, forestry and fishing (A)",2013,3036971008,2050215552,A
ARM,"Agriculture, forestry and fishing (A)",2014,3212009472,2149168896,A
ARM,"Agriculture, forestry and fishing (A)",2015,2730886400,1817613952,A
ARM,"Agriculture, forestry and fishing (A)",2016,2607145728,1728561664,A
ARM,"Agriculture, forestry and fishing (A)",2017,2605770752,1728457088,A
ARM,"Agriculture, forestry and fishing (A)",2018,2571242752,1702825984,A
ARM,Manufacturing (C),2010,,,C
ARM,Manufacturing (C),2011,2127192576,1071867008,C
ARM,Manufacturing (C),2012,2093328512,1000845312,C
ARM,Manufacturing (C),2013,2263776000,1076844160,C
ARM,Manufacturing (C),2014,2431286272,1122222592,C
ARM,Manufacturing (C),2015,2077812480,971558336,C
ARM,Manufacturing (C),2016,2302457344,1084633216,C
ARM,Manufacturing (C),2017,2723714048,1225498624,C
ARM,Manufacturing (C),2018,3158424576,1405894272,C
ARM,Mining and quarrying (B),2010,,,B
ARM,Mining and quarrying (B),2011,462822528,276097344,B
ARM,Mining and quarrying (B),2012,491516192,287924512,B
ARM,Mining and quarrying (B),2013,496113824,250684432,B
ARM,Mining and quarrying (B),2014,486539712,246569648,B
ARM,Mining and quarrying (B),2015,489835808,225388944,B
ARM,Mining and quarrying (B),2016,574798784,272296416,B
ARM,Mining and quarrying (B),2017,774459904,384304960,B
ARM,Mining and quarrying (B),2018,689191744,358628416,B
ARM,Services,2010,,,S
ARM,Services,2011,4342619136,2889946624,S
ARM,Services,2012,9377968128,6553506304,S
ARM,Services,2013,9940245504,6917477376,S
ARM,Services,2014,10663925760,7582446592,S
ARM,Services,2015,5218702848,3927999488,S
ARM,Services,2016,5543906816,4219039232,S
ARM,Services,2017,5954901504,4571950592,S
ARM,Services,2018,6701997056,5126030336,S
AUS,"Agriculture, forestry and fishing (A)",2010,,32841981952,A
AUS,"Agriculture, forestry and fishing (A)",2011,,34873937920,A
AUS,"Agriculture, forestry and fishing (A)",2012,,36250738688,A
AUS,"Agriculture, forestry and fishing (A)",2013,,34201124864,A
AUS,"Agriculture, forestry and fishing (A)",2014,,34746957824,A
AUS,"Agriculture, forestry and fishing (A)",2015,,29813907456,A
AUS,"Agriculture, forestry and fishing (A)",2016,,35583930368,A
AUS,"Agriculture, forestry and fishing (A)",2017,,36778467328,A
AUS,"Agriculture, forestry and fishing (A)",2018,,,A
AUS,Manufacturing (C),2010,,99035963392,C
AUS,Manufacturing (C),2011,,108734398464,C
AUS,Manufacturing (C),2012,,104954322944,C
AUS,Manufacturing (C),2013,,98121031680,C
AUS,Manufacturing (C),2014,,92117704704,C
AUS,Manufacturing (C),2015,,76021891072,C
AUS,Manufacturing (C),2016,,75868225536,C
AUS,Manufacturing (C),2017,,81815166976,C
AUS,Manufacturing (C),2018,,,C
AUS,Mining and quarrying (B),2010,,120606203904,B
AUS,Mining and quarrying (B),2011,,138164092928,B
AUS,Mining and quarrying (B),2012,,122100711424,B
AUS,Mining and quarrying (B),2013,,129060085760,B
AUS,Mining and quarrying (B),2014,,97163837440,B
AUS,Mining and quarrying (B),2015,,72959746048,B
AUS,Mining and quarrying (B),2016,,99854000128,B
AUS,Mining and quarrying (B),2017,,116179394560,B
AUS,Mining and quarrying (B),2018,,,B
AUS,Services,2010,,1019496693760,S
AUS,Services,2011,,874830495744,S
AUS,Services,2012,,915870842880,S
AUS,Services,2013,,885128232960,S
AUS,Services,2014,,863119409152,S
AUS,Services,2015,,747069571072,S
AUS,Services,2016,,770656567296,S
AUS,Services,2017,,827815559168,S
AUS,Services,2018,,,S
AUT,"Agriculture, forestry and fishing (A)",2010,11513875456,4971410944,A
AUT,"Agriculture, forestry and fishing (A)",2011,13718763520,6051859456,A
AUT,"Agriculture, forestry and fishing (A)",2012,12727848960,5520993792,A
AUT,"Agriculture, forestry and fishing (A)",2013,12879357952,5397697536,A
AUT,"Agriculture, forestry and fishing (A)",2014,12722001920,5314295296,A
AUT,"Agriculture, forestry and fishing (A)",2015,10369174528,4315395072,A
AUT,"Agriculture, forestry and fishing (A)",2016,10286849024,4387686400,A
AUT,"Agriculture, forestry and fishing (A)",2017,11078941696,5021941248,A
AUT,"Agriculture, forestry and fishing (A)",2018,,,A
AUT,Manufacturing (C),2010,200467382272,64641056768,C
AUT,Manufacturing (C),2011,235860557824,71640793088,C
AUT,Manufacturing (C),2012,223925551104,68395171840,C
AUT,Manufacturing (C),2013,231711555584,70963142656,C
AUT,Manufacturing (C),2014,231886225408,73292111872,C
AUT,Manufacturing (C),2015,195482533888,63764205568,C
AUT,Manufacturing (C),2016,196190863360,65889390592,C
AUT,Manufacturing (C),2017,213451997184,69512331264,C
AUT,Manufacturing (C),2018,,,C
AUT,Mining and quarrying (B),2010,3034379776,1559215104,B
AUT,Mining and quarrying (B),2011,3702531328,2085232512,B
AUT,Mining and quarrying (B),2012,3492389632,1940737536,B
AUT,Mining and quarrying (B),2013,3512380672,1961749888,B
AUT,Mining and quarrying (B),2014,3245726464,1861827328,B
AUT,Mining and quarrying (B),2015,2367168000,1273487744,B
AUT,Mining and quarrying (B),2016,2263362304,1107135488,B
AUT,Mining and quarrying (B),2017,2477187584,1231171712,B
AUT,Mining and quarrying (B),2018,,,B
AUT,Services,2010,332371492864,198612631552,S
AUT,Services,2011,365083295744,218138869760,S
AUT,Services,2012,347072430080,206829535232,S
AUT,Services,2013,371052609536,220864217088,S
AUT,Services,2014,380622340096,228394975232,S
AUT,Services,2015,327736524800,198318587904,S
AUT,Services,2016,337049092096,205326860288,S
AUT,Services,2017,355609706496,216951095296,S
AUT,Services,2018,,,S
AZE,"Agriculture, forestry and fishing (A)",2010,5129259520,2921073920,A
AZE,"Agriculture, forestry and fishing (A)",2011,6262865920,3347531520,A
AZE,"Agriculture, forestry and fishing (A)",2012,6722498560,3581386752,A
AZE,"Agriculture, forestry and fishing (A)",2013,7439635968,3979651328,A
AZE,"Agriculture, forestry and fishing (A)",2014,7413678592,4002307840,A
AZE,"Agriculture, forestry and fishing (A)",2015,6047939584,3278858752,A
AZE,"Agriculture, forestry and fishing (A)",2016,3899427072,2122425344,A
AZE,"Agriculture, forestry and fishing (A)",2017,4218388736,2291542784,A
AZE,"Agriculture, forestry and fishing (A)",2018,4537014272,2464740608,A
AZE,Manufacturing (C),2010,7159160320,2506572032,C
AZE,Manufacturing (C),2011,8160708096,2630411264,C
AZE,Manufacturing (C),2012,8966768640,2956422912,C
AZE,Manufacturing (C),2013,9233168384,3126413824,C
AZE,Manufacturing (C),2014,10290719744,3541542656,C
AZE,Manufacturing (C),2015,7720261120,2648932096,C
AZE,Manufacturing (C),2016,5571648512,1852704128,C
