countryname,countrycode,indicatorname,indicatorcode,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
Aruba,ABW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,46.452461,46.747009,50.921398,55.377499,57.247501,61.143463,67.866089,68.026901,72.083244
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,91.905724,93.934753,95.467957,96.51828,98.302414,120.0607,163.65643,165.91595,252.85574
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,103.93667,100.89584,108.18417,105.66917,105.48,125.96167,124.1425,119.1,107.98917
Andorra,AND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,
Arab World,ARB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999,3.6724999
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.8962951,4.1101394,4.5369344,5.4593525,8.0752764,9.2331858,14.758175,16.562706,28.094992
Armenia,ARM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,373.66046,372.50089,401.76398,409.62576,415.9198,477.9183,480.48816,482.7164,482.98795
American Samoa,ASM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,
Antigua and Barbuda,ATG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Australia,AUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.0901595,.96946323,.96580106,1.0358431,1.1093633,1.3310902,1.345214,1.3047581,1.3384122
Austria,AUT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,.754309,.71841389,.77833813,.75294513,.75272822,.90129644,.90342146,.88520551,.84677267
Azerbaijan,AZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,.80264997,.78968638,.78564537,.78454107,.78434747,1.0245638,1.5957216,1.7211548,1.7000166
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1230.7483,1261.0734,1442.5056,1555.0908,1546.6866,1571.8983,1654.6267,1729.0551,1782.8768
Belgium,BEL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,.754309,.71841389,.77833813,.75294513,.75272822,.90129644,.90342146,.88520551,.84677267
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,494.79425,471.24863,510.55634,493.89963,493.75732,591.21167,592.60559,580.65674,555.44647
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,495.27701,471.86612,510.52713,494.04004,494.41495,591.44952,593.00818,582.09454,555.71783
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,69.649292,74.152397,81.862656,78.103233,77.641411,77.946907,78.468094,80.437538,83.466202
Bulgaria,BGR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.4773917,1.4064584,1.52205,1.4735667,1.4741833,1.7644,1.7680416,1.7354584,1.6570417
Bahrain,BHR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,.37599999,.37599999,.37599999,.37599999,.37599999,.37599999,.37599999,.37599999,.37599999
"Bahamas, The",BHS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.4767395,1.4069365,1.52221,1.4730513,1.4741691,1.7634916,1.768139,1.7353528,1.6569854
Belarus,BLR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,.297851,.49746335,.83368981,.88800526,1.0224103,1.5925988,1.9895629,1.9323417,2.0376084
Belize,BLZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2,2,2,2,2,2
Bermuda,BMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1
Bolivia,BOL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,7.0166669,6.9369626,6.9099998,6.9099998,6.9099998,6.9099998,6.9099998,6.9099998,6.9099998
Brazil,BRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.7592267,1.6728288,1.9530686,2.1560891,2.352952,3.3269043,3.4913135,3.1913896,3.6538253
Barbados,BRB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2,2,2,2,2,2
Brunei Darussalam,BRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.3635094,1.257913,1.249567,1.2511656,1.2670401,1.3749108,1.3813468,1.3808912,1.3489186
Bhutan,BTN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,45.725811,46.670467,53.437233,58.597847,,,,,
Botswana,BWA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.7936249,6.8382335,6.8382335,8.3989086,8.9760838,10.128992,10.901158,10.347417,10.199975
Central African Republic,CAF,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,495.27701,471.86612,510.52713,494.04004,494.41495,591.44952,593.00818,582.09454,555.71783
Canada,CAN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.0301127,.98925817,.99936473,1.0301374,1.1047472,1.2787862,1.3256152,1.2979358,1.295818
