"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Afghanistan","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2017","100","Afghanis","1993","Fiscal year beginning 21 March","346269000000","",""
"Afghanistan","2.1","Industries","Mining and quarrying","C","2017","100","Afghanis","1993","Fiscal year beginning 21 March","13441000000","",""
"Afghanistan","2.1","Industries","Manufacturing","D","2017","100","Afghanis","1993","Fiscal year beginning 21 March","153008000000","",""
"Afghanistan","2.1","Industries","Electricity, gas and water supply","E","2017","100","Afghanis","1993","Fiscal year beginning 21 March","1246000000","",""
"Afghanistan","2.1","Industries","Construction","F","2017","100","Afghanis","1993","Fiscal year beginning 21 March","139834000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2017","100","Afghanis","1993","Fiscal year beginning 21 March","120368000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2017","100","Afghanis","1993","Fiscal year beginning 21 March","100091000000","",""
"Afghanistan","2.1","Industries","Hotels and restaurants","H","2017","100","Afghanis","1993","Fiscal year beginning 21 March","20277000000","",""
"Afghanistan","2.1","Industries","Transport, storage and communications","I","2017","100","Afghanis","1993","Fiscal year beginning 21 March","350827000000","",""
"Afghanistan","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2017","100","Afghanis","1993","Fiscal year beginning 21 March","264548000000","",""
"Afghanistan","2.1","Industries","Post and telecommunications","64","2017","100","Afghanis","1993","Fiscal year beginning 21 March","86279000000","",""
"Afghanistan","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2017","100","Afghanis","1993","Fiscal year beginning 21 March","53250000000","",""
"Afghanistan","2.1","Industries","Financial intermediation","J","2017","100","Afghanis","1993","Fiscal year beginning 21 March","14269000000","1","1"
"Afghanistan","2.1","Industries","Real estate, renting and business activities","K","2017","100","Afghanis","1993","Fiscal year beginning 21 March","38981000000","2","2"
"Afghanistan","2.1","Industries","Public administration and defence; compulsory social security","L","2017","100","Afghanis","1993","Fiscal year beginning 21 March","180711000000","",""
"Afghanistan","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2017","100","Afghanis","1993","Fiscal year beginning 21 March","10501000000","",""
"Afghanistan","2.1","Industries","Other community, social and personal services","O","2017","100","Afghanis","1993","Fiscal year beginning 21 March","10501000000","",""
"Afghanistan","2.1","Industries","Plus: Statistical discrepancy","","2017","100","Afghanis","1993","Fiscal year beginning 21 March","27160000000","3","3"
"Afghanistan","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2017","100","Afghanis","1993","Fiscal year beginning 21 March","1396803000000","",""
"Afghanistan","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","100","Afghanis","1993","Fiscal year beginning 21 March","66830000000","",""
"Afghanistan","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","100","Afghanis","1993","Fiscal year beginning 21 March","1463633000000","",""
"Algeria","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2017","100","Algerian dinar","1993","Western calendar year","2281851288181.54","",""
"Algeria","2.1","Industries","Mining and quarrying","C","2017","100","Algerian dinar","1993","Western calendar year","3771760019268.92","",""
"Algeria","2.1","Industries","Manufacturing","D","2017","100","Algerian dinar","1993","Western calendar year","814154028373.826","",""
"Algeria","2.1","Industries","Electricity, gas and water supply","E","2017","100","Algerian dinar","1993","Western calendar year","221534673924.995","",""
"Algeria","2.1","Industries","Construction","F","2017","100","Algerian dinar","1993","Western calendar year","2117392926736.07","",""
"Algeria","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2017","100","Algerian dinar","1993","Western calendar year","2393253786606.69","",""
"Algeria","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2017","100","Algerian dinar","1993","Western calendar year","2123865522681.19","",""
"Algeria","2.1","Industries","Hotels and restaurants","H","2017","100","Algerian dinar","1993","Western calendar year","269388263925.501","",""
"Algeria","2.1","Industries","Transport, storage and communications","I","2017","100","Algerian dinar","1993","Western calendar year","1965491741921.45","",""
"Algeria","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2017","100","Algerian dinar","1993","Western calendar year","1032814898656.63","",""
"Algeria","2.1","Industries","Financial intermediation","J","2017","100","Algerian dinar","1993","Western calendar year","651744891855.382","",""
"Algeria","2.1","Industries","Real estate, renting and business activities","K","2017","100","Algerian dinar","1993","Western calendar year","381070006801.248","",""
"Algeria","2.1","Industries","Public administration and defence; compulsory social security","L","2017","100","Algerian dinar","1993","Western calendar year","3040064694291.63","",""
"Algeria","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2017","100","Algerian dinar","1993","Western calendar year","260390607606.876","",""
