country,isic,year,value,isicComb,variable
004,15,2010,40262668,,14
004,16,2010,...,,14
004,17,2010,20773926,,14
004,18,2010,...,,14
004,19,2010,...,,14
004,20,2010,9364412,,14
004,21,2010,...,,14
004,22,2010,5166572,,14
004,23,2010,...,,14
004,24,2010,19129234,,14
004,25,2010,22747987,,14
004,26,2010,42473530,,14
004,27,2010,...,,14
004,28,2010,9082404,,14
004,29,2010,...,,14
004,30,2010,...,,14
004,31,2010,...,,14
004,32,2010,...,,14
004,33,2010,...,,14
004,34,2010,...,,14
004,35,2010,...,,14
004,36,2010,32700097,,14
004,37,2010,...,,14
004,D,2010,201700831,,14
004,15,2011,47769902,,14
004,16,2011,...,,14
004,17,2011,20856950,,14
004,18,2011,...,,14
004,19,2011,...,,14
004,20,2011,8102337,,14
004,21,2011,...,,14
004,22,2011,5283761,,14
004,23,2011,...,,14
004,24,2011,19460069,,14
004,25,2011,22247413,,14
004,26,2011,39052767,,14
004,27,2011,...,,14
004,28,2011,14037262,,14
004,29,2011,...,,14
004,30,2011,...,,14
004,31,2011,...,,14
004,32,2011,...,,14
004,33,2011,...,,14
004,34,2011,...,,14
004,35,2011,...,,14
004,36,2011,32772151,,14
004,37,2011,...,,14
004,D,2011,209582611,,14
004,15,2012,48133005,,14
004,16,2012,...,,14
004,17,2012,20476656,,14
004,18,2012,...,,14
004,19,2012,...,,14
004,20,2012,4457851,,14
004,21,2012,...,,14
004,22,2012,7374110,,14
004,23,2012,...,,14
004,24,2012,18141685,,14
004,25,2012,14728582,,14
004,26,2012,38241290,,14
004,27,2012,...,,14
004,28,2012,16894665,,14
004,29,2012,...,,14
004,30,2012,...,,14
004,31,2012,...,,14
004,32,2012,...,,14
004,33,2012,...,,14
004,34,2012,...,,14
004,35,2012,...,,14
004,36,2012,29771373,,14
004,37,2012,...,,14
004,D,2012,203201405,,14
004,15,2013,39418536,,14
004,16,2013,...,,14
004,17,2013,18763938,,14
004,18,2013,...,,14
004,19,2013,...,,14
004,20,2013,3990790,,14
004,21,2013,...,,14
004,22,2013,6916166,,14
004,23,2013,...,,14
004,24,2013,16824523,,14
004,25,2013,13669812,,14
004,26,2013,33334838,,14
004,27,2013,...,,14
004,28,2013,15168615,,14
004,29,2013,...,,14
004,30,2013,...,,14
004,31,2013,...,,14
004,32,2013,...,,14
004,33,2013,...,,14
004,34,2013,...,,14
004,35,2013,...,,14
004,36,2013,28874543,,14
004,37,2013,...,,14
004,D,2013,181727236,,14
004,15,2014,39940819,,14
004,16,2014,...,,14
004,17,2014,19012555,,14
004,18,2014,...,,14
004,19,2014,...,,14
004,20,2014,4043667,,14
004,21,2014,...,,14
004,22,2014,7007803,,14
004,23,2014,...,,14
004,24,2014,17047442,,14
004,25,2014,13850932,,14
004,26,2014,33776514,,14
004,27,2014,...,,14
004,28,2014,15369595,,14
004,29,2014,...,,14
004,30,2014,...,,14
004,31,2014,...,,14
004,32,2014,...,,14
004,33,2014,...,,14
004,34,2014,...,,14
004,35,2014,...,,14
004,36,2014,29257121,,14
004,37,2014,...,,14
004,D,2014,179306449,,14
004,15,2015,37204964,,14
004,16,2015,...,,14
004,17,2015,17710238,,14
004,18,2015,...,,14
004,19,2015,...,,14
004,20,2015,3766685,,14
004,21,2015,...,,14
004,22,2015,6527785,,14
004,23,2015,...,,14
004,24,2015,15879731,,14
004,25,2015,12902175,,14
