country,year,isic,value_added,gross_output
4,2010,15,,40262668
4,2011,15,,47769902
4,2012,15,,48133005
4,2013,15,,39418536
4,2014,15,,39940819
4,2015,15,,37204964
4,2016,15,,
4,2017,15,,
4,2010,16,,0
4,2011,16,,0
4,2012,16,,2526510.222082172
4,2013,16,,2037415.055040589
4,2014,16,,0
4,2015,16,,0
4,2016,16,,
4,2017,16,,
4,2010,17,,20773926
4,2011,17,,20856950
4,2012,17,,20476656
4,2013,17,,18763938
4,2014,17,,19012555
4,2015,17,,17710238
4,2016,17,,
4,2017,17,,
4,2010,18,,0
4,2011,18,,0
4,2012,18,,3613206.451107924
4,2013,18,,3430003.840754184
4,2014,18,,0
4,2015,18,,0
4,2016,18,,
4,2017,18,,
4,2010,19,,0
4,2011,19,,0
4,2012,19,,1236917.465490055
4,2013,19,,1278306.088818257
4,2014,19,,0
4,2015,19,,0
4,2016,19,,
4,2017,19,,
4,2010,20,,9364412
4,2011,20,,8102337
4,2012,20,,4457851
4,2013,20,,3990790
4,2014,20,,4043667
4,2015,20,,3766685
4,2016,20,,
4,2017,20,,
4,2010,21,,0
4,2011,21,,0
4,2012,21,,3077232.487371529
4,2013,21,,3031712.795400507
4,2014,21,,0
4,2015,21,,0
4,2016,21,,
4,2017,21,,
4,2010,22,,5166572
4,2011,22,,5283761
4,2012,22,,7374110
4,2013,22,,6916166
4,2014,22,,7007803
4,2015,22,,6527785
4,2016,22,,
4,2017,22,,
4,2010,23,,0
4,2011,23,,0
4,2012,23,,19846045.31118074
4,2013,23,,19153796.11090407
4,2014,23,,0
4,2015,23,,0
4,2016,23,,
4,2017,23,,
4,2010,24,,19129234
4,2011,24,,19460069
4,2012,24,,18141685
4,2013,24,,16824523
4,2014,24,,17047442
4,2015,24,,15879731
4,2016,24,,
4,2017,24,,
4,2010,25,,22747987
4,2011,25,,22247413
4,2012,25,,14728582
4,2013,25,,13669812
4,2014,25,,13850932
4,2015,25,,12902175
4,2016,25,,
4,2017,25,,
4,2010,26,,42473530
4,2011,26,,39052767
4,2012,26,,38241290
4,2013,26,,33334838
4,2014,26,,33776514
4,2015,26,,31462900
4,2016,26,,
4,2017,26,,
4,2010,27,,0
4,2011,27,,0
4,2012,27,,12060219.68048344
4,2013,27,,10908629.37606314
4,2014,27,,0
4,2015,27,,0
4,2016,27,,
4,2017,27,,
4,2010,28,,9082404
4,2011,28,,14037262
4,2012,28,,16894665
4,2013,28,,15168615
4,2014,28,,15369595
4,2015,28,,14316812
4,2016,28,,
4,2017,28,,
4,2010,29,,0
4,2011,29,,0
4,2012,29,,7207225.994098902
4,2013,29,,7100772.341789867
4,2014,29,,0
4,2015,29,,0
